"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ACIW","ACI Worldwide, Inc.","24.52","$2.84B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","17.78","$549.43M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","12.7","$195.61M","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ACU","Acme United Corporation.","20.3","$68.49M","1988","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","29.3","$205.79M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","23.35","$1.1B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor",
"ATV","Acorn International, Inc.","23.058","$61.83M","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",
"ATNM","Actinium Pharmaceuticals, Inc.","0.3798","$41.85M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/atnm",
"SQZZ","Active Alts Contrarian ETF","24.9","$622549.8","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sqzz",
"ATVI","Activision Blizzard, Inc","66.56","$50.49B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",
"ATU","Actuant Corporation","23.8","$1.44B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","130.52","$5.35B","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","24.3","$1.82B","2016","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/golf",
"ACXM","Acxiom Corporation","24.59","$1.93B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","24.37","$653.29M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","3.65","$121.87M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/admp",
"ADX","Adams Diversified Equity Fund, Inc.","14.93","$1.48B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","19.34","$552.18M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/peo",
"AE","Adams Resources & Energy, Inc.","45.99","$193.97M","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ae",
"ADAP","Adaptimmune Therapeutics plc","12.36","$1.16B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adap",
"ADUS","Addus HomeCare Corporation","53.75","$625.16M","2009","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","1.23","$12.58M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/aey",
"AGRO","Adecoagro S.A.","7.87","$963.14M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/agro",
"IOTS","Adesto Technologies Corporation","8.8","$188.27M","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",
"ADNT","Adient plc","66.01","$6.16B","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",
"ADMA","ADMA Biologics Inc","5.07","$229.76M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","226.52","$111.55B","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe",
"ADOM","ADOMANI, Inc.","0.84","$60.26M","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",
"ADT","ADT Inc.","8.99","$6.73B","2018","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","49.9","$3.01B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/atge",
"ADTN","ADTRAN, Inc.","15.55","$744.91M","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","7.5","$607.55M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adro",
"AAP","Advance Auto Parts Inc","106.45","$7.87B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","22.74","$2.01B","2016","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","25","$1.41B","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",
"ADES","Advanced Emissions Solutions, Inc.","11.03","$223.99M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","67.25","$2.67B","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","10.09","$9.78B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd",
"ASX","Advanced Semiconductor Engineering, Inc.","7.63","$13.34B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/asx",
